stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station,stop_timezone,wheelchair_boarding
2813,,Robinson/Glen,The stop is located on a sign post before Glen Ave near Calvin Coolidge School Binghamton.,42.108391,-75.878632,,,,,,
2814,,Robinson/Griswold,The stop is located on a telephone pole at the corner before Griswold St near East End Appliances Binghamton,42.107273,-75.892563,,,,,,
2815,,Robinson/Bigelow,The stop is located on a sign post before Bigelow St near the Coolidge School crosswalk sign Binghamton,42.108212,-75.880951,,,,,,
2816,,Robinson/Ely,The stop is located on a sign post after Ely St and before the entrance to Weis Binghamton,42.107445,-75.889587,,,,,,
2817,,Robinson/Howard,The stop is located on a sign post about 75 feet after Howard Ave Binghamton,42.107899,-75.884911,,,,,,
2818,,Broad/George,The stop is located on a telephone pole before George St at a private residence Binghamton,42.109406,-75.888847,,,,,,
2819,,Robinson/Broad,The stop is located on a sign post before the entrance with KFC about 100 feet before Broad Ave Binghamton.,42.107685,-75.888023,,,,,,
2820,,Broad/E Frederick,The stop is located on a sign post about 25 feet before E Fredrick St across from Stockholm Barbershop Binghamton,42.111259,-75.889084,,,,,,
2821,,Robinson/Ely,The stop is located on a sign post at the corner before Ely St near the M&T Bank Binghamton,42.107555,-75.88987,,,,,,
2822,,Broad/Grant,The stop is located on a telephone pole after Grant St between the two entrances of Manley's Might Mart Binghamton,42.112644,-75.889229,,,,,,
2823,,Robinson/Griswold,The stop is located on a sign post about 275 feet after Griswold St- across from Alice St Binghamton,42.107319,-75.893622,,,,,,
2824,,Broad/Hill,The stop is located on a telephone pole after the I86 off ramp about 75 feet before Hill St across from Agway Binghamton,42.115826,-75.88961,,,,,,
2825,,Robinson/Whitney,The stop is located on a sign post at the corner before Whitney Ave just after the railroad bridge Binghamton,42.107151,-75.896141,,,,,,
2826,,Spellicy/Moeller-One,The stop is located on a telephone pole after Moeller St near Carlisle Apts Community Center Binghamton,42.116146,-75.887359,,,,,,
2827,,Robinson/Liberty,The stop is located on a sign post at the corner before Liberty St just after the NY 363 overpass Binghamton,42.106979,-75.899406,,,,,,
2828,,Spellicy/Flower,The stop is located on a sign post before Flower St  near Carlise Apts Bldg 17 Binghamton,42.1167338293255,-75.8863747324917,,,,,,
2829,,Robinson/Emmet,The stop is located on a sign post across from Emmett St at a private residence Binghamton,42.107063,-75.90155,,,,,,
2830,,Spellicy/Leon,The stop is located on a sign post before Leon Ave near Carlise Apts Bldg 19 Binghamton,42.117821,-75.886871,,,,,,
2831,,Chenango/Robinson,The stop is located on sign post after Robinson St near Wilson Dental Binghamton,42.107002,-75.904816,,,,,,
2832,,Spellicy/Moeller-Two,The stop is located on a telephone pole at the corner before Moeller St near Carlisle Apts Bldg 4 Binghamton,42.117706,-75.888252,,,,,,
2833,,Chenango/Eldridge,The stop is located on a sign post about 75 feet after Eldredge St across from VAR electronics Binghamton,42.104912,-75.907143,,,,,,
2834,,Moeller/Bevier,The stop is located on a sign post at the corner before Bevier St near Gates Fabrication Binghamton,42.119286,-75.888992,,,,,,
2836,,Bevier/Broad,The stop is located at the intersection of Bevier St and Broad st on sign for the Binghamton Alumni Stadium Binghamton,42.119358,-75.889862,,,,,,
2838,,Broad/Spellicy,The stop is located on a sign post across from Spellicy Blvd  after the entrance to Agway Binghamton,42.117508,-75.890045,,,,,,
2844,,Broad/E Frederick,The stop is located on a sign post about 20 feet before E Frederick near Stockholm Barbershop Binghamton,42.111576,-75.889313,,,,,,
2846,,Broad/William,The stop is located on a sign post by the Mental Health Association of the Southern Tier. A bus shelter is here.,42.108682,-75.88897,,,,,,
2848,,Robinson/Moeller,The stop is located on a sign post about 75 feet after Moeller St between the exits of the K&P One Stop Binghamton,42.107727,-75.886047,,,,,,
2850,,Robinson/Mason,The stop is located on a sign post at the corner before Mason Ave by the Cameo Theater Binghamton,42.107887,-75.883545,,,,,,
2852,,Robinson/Bigelow,The stop is located on a sign post about 15 feet before Bigelow St near the Fairview United Methodist Church Binghamton,42.108063,-75.881264,,,,,,
2854,,Robinson/Milford,The stop is located on a sign post at the corner before Milford St by the United Church of Christ Binghamton,42.108337,-75.877983,,,,,,
2856,,Robinson/Fairview,The stop is located on a sign post at the corner before Fairview Ave at a private residence Binghamton,42.108456,-75.876572,,,,,,
2858,,Robinson/Rubin,The stop is located a sign post at the corner after Rubin Ave across from Fairview Park Binghamton,42.108646,-75.874321,,,,,,
2860,,Robinson/English,The stop is located on a sign post at the corner before English St at a private residence Binghamton,42.108757,-75.872551,,,,,,
2862,,Robinson/Garden,The stop is located on a telephone pole at the corner before Garden St at a private residence Binghamton,42.108936,-75.870483,,,,,,
2864,,Robinson/GBHC Entrance,The stop is located on a telephone pole at the entrance to the GBHC Center Binghamton,42.109081,-75.868675,,,,,,
2866,,Robinson/Century,The stop is located on the corner before Century Dr near the GBHC Center Binghamton,42.1074402919586,-75.8664112406001,,,,,,
2868,,GBHC/Garvin,The stop is located in front of the VA Clinic near the Garvin Bldg GBHC Binghamton,42.1057264285454,-75.8676189498667,,,,,,
3500,,BC Junction 35 Endicott Binghamton,The stop is located at the Greater Binghamton Transportation Center BC Junction Bay 12 Dock B,42.100995,-75.910829,,,,bcj,,
3501,,E. Perimeter Rd/Glendale Tech Park,The stop is located on a street lamp pole near the the NYS Department of Labor Endicott.,42.094946,-76.090671,,,,,,
3502,,Court/Water,The stop is located on a sign post about 100 feet after Water St in front of Boscov's Binghamton,42.098837,-75.915429,,,,,,
3503,,Glendale Tech Park/Perimeter Rd,The stop is located on a sign post near an office building at the Glendale Technology Park Endicott,42.093063,-76.091274,,,,,,
3504,,Main/Front,The stop is located on a sign post about 125 feet after Front St by the 1st Congregational Church Binghamton,42.0989597654341,-75.9179805846929,,,,,,
3505,,Main /S. Grippen,The stop is located on a sign post near the crosswalk at the corner before Grippen Ave across from Our Lady of Good Council Church Endicott,42.0923446831768,-76.0788652133883,,,,,,
3507,,Main /Bassett,The stop is located on a sign post by the crosswalk before Bassett Ave at a private residence Endicott,42.092734,-76.075082,,,,,,
3508,,Main/Chapin,The is located on a sign post about 130 feet before Chapin St by the CVS Binghamton.  A bus shelter is here.,42.09967,-75.921773,,,,,,
